VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Electric Utility,2020 Census Tract,Vehicle Location Lat,Vehicle Location Lon
1N4AZ1CP3J,King,Issaquah,WA,98027.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,5.0,175618894,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103.0,47.534065,-122.0364
5YJ3E1EA9L,Snohomish,Bothell,WA,98012.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1.0,104548314,PUGET SOUND ENERGY INC,53061052107.0,47.820245,-122.187
SADHD2S16K,Yakima,Zillah,WA,98953.0,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,15.0,477559785,PACIFICORP,53077002202.0,46.40556,-120.2631
JHMZC5F32J,Kitsap,Bremerton,WA,98310.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,23.0,477487601,PUGET SOUND ENERGY INC,53035080200.0,47.575195,-122.61136
KNDCS3LF7P,Thurston,Lacey,WA,98516.0,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,22.0,228590449,PUGET SOUND ENERGY INC,53067012226.0,47.0821119,-122.747429
JN1AZ0CP7B,Thurston,Lacey,WA,98503.0,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,22.0,123927114,PUGET SOUND ENERGY INC,53067011421.0,47.03646,-122.828
7PDSGABA9P,Snohomish,Bothell,WA,98021.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,236425850,PUGET SOUND ENERGY INC,53061051937.0,47.802589,-122.17945
WVWKP7AU7G,Kitsap,Hansville,WA,98340.0,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,23.0,137053479,PUGET SOUND ENERGY INC,53035090101.0,47.903975,-122.5778
1FADP5CU0E,Thurston,Lacey,WA,98516.0,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22.0,254657763,PUGET SOUND ENERGY INC,53067012225.0,47.0821119,-122.747429
JHMZC5F17J,Island,Oak Harbor,WA,98277.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,10.0,203162060,PUGET SOUND ENERGY INC,53029970100.0,48.2897314,-122.678867
WA1LAAGE7K,King,Seattle,WA,98116.0,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,34.0,244086307,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009702.0,47.56484,-122.3867
WBY1Z2C52E,King,Seattle,WA,98119.0,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,36.0,246985581,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900.0,47.63046,-122.36381
5YJ3E1EB4K,King,Seattle,WA,98103.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,43.0,150330379,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005100.0,47.659185,-122.343
5YJ3E1EA4L,Snohomish,Edmonds,WA,98026.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21.0,112923009,PUGET SOUND ENERGY INC,53061050101.0,47.80372,-122.33568
5YJYGDEE9L,King,Kent,WA,98030.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,33.0,120464102,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029505.0,47.37483,-122.19975
1N4AZ1CP3K,Snohomish,Lake Stevens,WA,98258.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,44.0,8198081,PUGET SOUND ENERGY INC,53061052505.0,48.0047,-122.11226
WDDVP9AB2F,Yakima,Yakima,WA,98901.0,2015,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,15.0,188324727,PACIFICORP,53077001602.0,46.6043,-120.50022
1N4AZ0CP2F,Snohomish,Edmonds,WA,98020.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,21.0,138597035,PUGET SOUND ENERGY INC,53061050502.0,47.80807,-122.375
5YJ3E1EA4J,King,Kirkland,WA,98034.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1.0,347814015,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022201.0,47.71124,-122.20928
1N4BZ0CP3G,Snohomish,Bothell,WA,98021.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1.0,232703859,PUGET SOUND ENERGY INC,53061051937.0,47.802589,-122.17945
5YJSA1E25H,King,Seattle,WA,98106.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,34.0,214280741,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011300.0,47.52104,-122.35614
WBY1Z8C38H,Snohomish,Bothell,WA,98012.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,21.0,112550595,PUGET SOUND ENERGY INC,53061051921.0,47.820245,-122.187
WA1F2AFY8N,Yakima,Yakima,WA,98908.0,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,14.0,202295537,PACIFICORP,53077002801.0,46.5965625,-120.60272
WBY1Z2C50E,Yakima,Yakima,WA,98901.0,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,15.0,101485023,PACIFICORP,53077001602.0,46.6043,-120.50022
5UXKT0C53J,Spokane,Spokane,WA,99207.0,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,3.0,348205378,MODERN ELECTRIC WATER COMPANY,53063002501.0,47.67936,-117.3978
1N4AZ0CP3F,Kitsap,Bainbridge Island,WA,98110.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23.0,150727643,PUGET SOUND ENERGY INC,53035090902.0,47.6293323,-122.523578
YV4ED3UR7M,Thurston,Olympia,WA,98502.0,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22.0,175438245,PUGET SOUND ENERGY INC,53067010600.0,47.045935,-122.9214
5YJ3E1EBXJ,Spokane,Spokane,WA,99203.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,6.0,474607059,MODERN ELECTRIC WATER COMPANY,53063004300.0,47.635365,-117.42526
7FCTGAAA5N,Thurston,Yelm,WA,98597.0,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2.0,228332982,PUGET SOUND ENERGY INC,53067012532.0,46.94126,-122.6102
WA1G2AFY5P,Snohomish,Snohomish,WA,98296.0,2023,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,44.0,221156232,PUGET SOUND ENERGY INC,53061052122.0,47.8851158,-122.1513
WBY1Z4C57E,Snohomish,Monroe,WA,98272.0,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,39.0,204035618,PUGET SOUND ENERGY INC,53061052206.0,47.85674,-121.97221
1G1FX6S00H,Kitsap,Olalla,WA,98359.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,26.0,301194624,PUGET SOUND ENERGY INC,53035092803.0,47.41801,-122.5448
1N4AZ1CP1L,Chelan,Wenatchee,WA,98801.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,12.0,142110370,PUD NO 1 OF CHELAN COUNTY,53007961002.0,47.42255,-120.32
1G1RD6S55G,Snohomish,Everett,WA,98208.0,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,44.0,474876041,PUGET SOUND ENERGY INC,53061041606.0,47.9156409,-122.224775
WBY1Z4C59E,Thurston,Olympia,WA,98512.0,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,22.0,121721148,PUGET SOUND ENERGY INC,53067010910.0,47.0135926,-122.913101
