#Year Nh4[ppb] No3[ppb] So4[ppb]
1896 75.6651509615385 134.73339375 116.078319230769
1895 95.9302403433477 152.068460944206 159.242048497854
1894 85.6201048899756 177.09373202934 143.451814914426
1893 124.352278899083 208.406070183486 159.203354587156
1892 82.1789173184357 156.409353631285 150.009455307262
1891 85.4557893203882 140.317211650485 124.398566019418
1890 58.5287932098765 124.616013580247 176.891588888889
1889 87.5577807272728 137.082928363636 152.532054181818
1888 75.1969046511629 138.328995348838 90.1165662790696
1887 82.3863742857142 154.352795 113.912760714286
1886 72.9376305084744 142.670670762712 89.5191864406782
1885 50.6941 92.7287333333333 92.4946
1884 135.506125 202.145875 176.15635
1883 59.9310152284265 126.971084517766 123.794699746192
1882 57.8042149999999 124.1079375 122.38077
1881 92.1598261484098 143.242362190813 155.73313180212
1880 59.7862487603307 178.741563636364 96.9715446280993
1879 84.67760969163 132.382703524229 143.502157709251
1878 69.9190876923077 144.263752307692 88.185416923077
1877 40.0108605633803 122.253438732395 179.038154929578
1876 nan nan nan  
1875 67.1059584070797 116.554478761062 127.780690265487
1874 67.3440333333332 96.8135893333334 114.738030666666
1873 93.2582153846152 139.879706666667 146.256411794872
1872 79.2425580838324 128.370311377246 108.896938922156
1871 44.377312328767 101.445293150685 78.6546260273971
1870 79.85422625 109.806726875 100.827589375
1869 120.636407692308 186.804641025641 175.457261538461
1868 53.4049846153846 115.163352564103 73.7373320512821
1867 29.6721111111111 47.2710688888888 48.1061633333333
1866 60.0574604761906 100.961772857143 107.176922380952
1865 57.7622902912623 134.934753398058 94.2236087378639
1864 74.5446824324325 125.279917567568 135.415066216216
1863 105.838771910113 192.296670786517 329.801485393259
1862 58.5642518987342 119.636293670886 113.1361375
1861 56.9327006172839 144.483421604938 131.010909876543
1860 74.3772064516129 148.576503225806 159.462309677419
1859 72.0397666666666 147.782074561403 141.067093421053
1858 51.7272488888889 99.78298 72.9240888888889
1857 146.615865942029 205.794769565217 188.993118115942
1856 64.6204137055837 121.979783248731 88.8756208121828
1855 63.7718625 167.624019318182 113.766046590909
1854 64.0395902439025 144.776145121951 199.441981707317
1853 76.6179538461538 166.617866666667 105.532151282051
1852 46.8179523809525 162.17823968254 122.565563492064
1851 62.8533027272728 138.757047272727 126.968016363636
1850 88.0445444444445 196.813466666667 128.913204761905
